ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"185.193.31.215","elite","AS209242","GB","Cloudflare London, LLC","7","F3 Markets N.V","80","http","4993","17978","2025-11-08T01:08:31.676Z","99","72","73"
"45.131.211.198","elite","AS209242","BZ","Cloudflare London, LLC","7","Inter Networks","80","http","4378","17693","2025-11-08T01:08:31.695Z","100","75","75"
"147.161.162.35","elite","AS62044","ZA","Zscaler JNB3","176","Zscaler, Inc.","10833","socks4","3611","1","2025-11-08T01:08:13.767Z","96","2762","2875"
"154.83.2.183","elite","AS209242","PH","Cloudflare London, LLC","7","Softmedia Entertainment Solutions, Inc","80","http","3737","16715","2025-11-08T01:08:13.681Z","100","74","74"
"23.227.39.241","elite","AS13335","CA","Cloudflare, Inc.","63","Shopify, Inc.","80","http","990","16605","2025-11-08T01:08:13.689Z","100","72","72"
"188.42.88.29","elite","AS209242","NL","Cloudflare London, LLC","7","Servers COM","80","http","1319","16602","2025-11-08T01:08:13.693Z","100","75","75"
"81.12.104.36","elite","AS42337","IR","Respina Networks & Beyond PJSC","77","Respina Networks","3629","socks4","3382","1","2025-11-08T01:08:13.978Z","94","10179","10817"
"58.218.169.186","elite","AS4134","CN","Chinanet","228","Chinanet JS","10800","socks4","3901","1","2025-11-08T01:08:13.667Z","79","3013","3802"
"185.162.229.25","elite","AS209242","GB","Cloudflare London, LLC","7","Softconstruct Limited","80","http","4870","16715","2025-11-08T01:08:13.680Z","100","73","73"
"46.101.195.252","elite","AS14061","DE","DigitalOcean, LLC","8","Digital Ocean","41842","socks4","4379","1","2025-11-08T01:08:13.982Z","100","3332","3334"
"198.199.122.10","elite","AS14061","US","DigitalOcean, LLC","81","DigitalOcean, LLC","3128","socks4","4893","1","2025-11-08T01:08:13.985Z","97","10486","10851"
"172.67.177.234","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","4301","16721","2025-11-08T01:08:13.673Z","100","75","75"
"154.38.189.6","elite","AS40021","US","Contabo Inc.","93","Contabo Inc","10000","socks4","3977","61","2025-11-08T01:08:13.768Z","100","3030","3030"
"209.46.30.183","elite","AS209242","US","Cloudflare London, LLC","7","ADVERTISING SPECIALTY INSTITUTE, INC","80","http","2030","16723","2025-11-08T01:08:13.672Z","100","74","74"
"81.162.199.86","elite","AS34955","CZ","Martin Vicenik","71","VicenikRoute","4153","socks4","4885","1","2025-11-08T01:08:13.665Z","59","6432","10911"
"45.131.7.103","elite","AS209242","BZ","Cloudflare London, LLC","62","Inter Networks","80","http","4125","16714","2025-11-08T01:08:13.684Z","100","73","73"
